"views","likes","dislikes","comment_count","days_trending","days_after_publish","num_tags","title_word_count","description_word_count","category_id","Country","engagement","category"
1335225,60694,1576,11732,3,1,17,11,140,"25","Canada",0.05542286880488307,"News & Politics"
139025,490,78,22,2,1,6,13,15,"24","Germany",0.0042438410357849305,"Entertainment"
362391,21547,356,955,1,2,6,4,13,"10","Canada",0.06307551787985904,"Music"
54691,153,134,254,1,1,1,10,1,"17","Canada",0.00989193834451738,"Sports"
17050,100,32,74,1,1,6,9,24,"24","Germany",0.012082111436950147,"Entertainment"
5406,964,4,191,1,1,8,7,91,"24","Germany",0.21439141694413613,"Entertainment"
28725,253,3,12,9,3318,5,5,5,"24","United Kingdom",0.009329852045256746,"Entertainment"
133631,569,214,1513,1,2,8,10,39,"25","Canada",0.017181641984270118,"News & Politics"
81411,4847,200,5009,2,1,34,6,92,"2","Germany",0.12352139145815676,"Autos & Vehicles"
1044971,3351,609,699,2,1,1,10,4,"22","Germany",0.004458496934364686,"People & Blogs"
11839,935,21,125,1,1,19,6,196,"22","Germany",0.09130838753273081,"People & Blogs"
57494,2190,62,768,1,2,29,10,54,"27","Canada",0.05252722023167635,"Education"
6070,152,108,205,1,1,21,5,232,"25","Canada",0.07660626029654036,"News & Politics"
494874,7301,487,1706,1,1,16,13,86,"25","Germany",0.019184681353233347,"News & Politics"
563746,4429,54,94,1,3,33,12,41,"24","USA",0.008118904613070426,"Entertainment"
147706,1162,74,591,1,1,28,11,177,"25","Germany",0.012369165775256253,"News & Politics"
85782,2507,30,131,1,1,21,10,71,"24","Canada",0.03110209601081812,"Entertainment"
383196,1911,594,2612,2,1,7,7,114,"25","Canada",0.013353479681416298,"News & Politics"
507781,5224,1169,6879,1,1,11,14,111,"27","Canada",0.02613725208308306,"Education"
43056,141,6,69,1,1,10,8,46,"24","Canada",0.005016722408026756,"Entertainment"
51785,178,59,206,1,1,20,4,3,"24","Germany",0.008554600753113836,"Entertainment"
24823,333,10,63,1,2,10,7,82,"22","Germany",0.016355799057325867,"People & Blogs"
6177,0,0,73,1,1,18,13,28,"24","Germany",0.011818034644649505,"Entertainment"
98160,3474,46,259,1,1,13,6,202,"24","Canada",0.03849837000814996,"Entertainment"
21238,903,30,110,2,1,4,14,143,"15","Germany",0.04911008569545155,"Pets & Animals"
18484,489,6,29,1,1,7,7,118,"24","Canada",0.028348842241938975,"Entertainment"
12603,304,13,16,1,1,10,11,212,"26","Germany",0.026422280409426326,"Howto & Style"
2661,46,1,3,1,1,21,11,48,"24","Germany",0.018789928598271326,"Entertainment"
473556,34091,354,3183,2,2,2,6,12,"20","Canada",0.07945839562797219,"Gaming"
30891,883,127,162,1,1,10,8,242,"24","Germany",0.037939853031627335,"Entertainment"
281497,11041,348,610,1,3,1,13,98,"24","Germany",0.042625676294951634,"Entertainment"
2058516,41248,580,1490,3,1,23,8,322,"23","USA",0.02104331469854983,"Comedy"
195231,8960,122,629,2,1,21,10,131,"24","Canada",0.049741075956174996,"Entertainment"
4052,270,17,104,1,1,43,7,89,"29","Germany",0.09649555774925962,"Nonprofits & Activism"
